subject,topic,text,difficulty
math,sets,"Sets are well-defined collections of objects. notation, subset relations, and operations like union, intersection, and complement with everyday examples.",basic
math,relations and functions,"A relation connects elements of one set to another, while a function maps each input to exactly one output. Domain, range, and function types help describe mathematical behavior clearly.",basic
math,trigonometric functions,Trigonometric functions link angles with ratios in a right triangle. Basic identities and angle transformations are used to solve geometric and practical measurement problems.,basic
math,principle of mathematical induction,Mathematical induction proves statements for all natural numbers in two steps: base case and inductive step. It is a structured way to establish general formulas.,advanced
math,complex numbers and quadratic equations,Complex numbers extend real numbers using i where i^2 = -1. Solving quadratic equations in this system requires algebraic manipulation and interpretation in the complex plane.,advanced
math,linear inequalities,Linear inequalities represent value ranges instead of a single solution. Graphical interpretation on a number line helps compare feasible regions quickly.,basic
math,permutations and combinations,"Permutations count ordered arrangements, while combinations count selections without order. Factorial-based formulas help solve counting problems with restrictions.",advanced
math,binomial theorem,The binomial theorem expands expressions of the form (a + b)^n. General terms and coefficients are derived using combinatorial reasoning.,advanced
math,sequences and series,"A sequence is an ordered list, and a series is its sum. Arithmetic and geometric progressions model repeated patterns in finance and growth.",advanced
math,straight lines,Coordinate geometry represents a line using slope and intercept forms. Angle between lines and distance formulas connect algebra with geometry.,basic
math,conic sections,"Conic sections include circles, parabolas, ellipses, and hyperbolas. Their standard equations and geometric properties are used in analytical modeling.",advanced
math,limits and derivatives,Limits describe behavior near a point and lead to the derivative concept. Derivatives measure instantaneous rate of change in physical and geometric settings.,advanced
math,continuity and differentiability,A function may be continuous yet not differentiable at some points. Precise conditions and theorem-based reasoning make this topic conceptually deeper.,advanced
math,application of derivatives,"Derivative tools identify increasing-decreasing intervals, maxima-minima, and tangent behavior. Optimization problems require careful setup and interpretation.",advanced
math,integrals,Integration reverses differentiation and accumulates quantities. Standard integration techniques and properties are central for area and motion problems.,advanced
math,application of integrals,Definite integrals compute area under curves and between bounded regions. Building correct limits and region geometry is the key challenge.,advanced
math,differential equations,Differential equations connect a function with its derivative and model dynamic systems. Solving first-order forms demands method selection and verification.,advanced
math,vectors,Vectors represent magnitude and direction in a compact form. Dot product and basic vector operations support geometric and physical applications.,basic
math,three dimensional geometry,Three-dimensional geometry uses vectors and coordinates to study lines and planes in space. Distance and angle calculations involve multi-step derivations.,advanced
math,probability,Probability measures uncertainty and ranges from 0 to 1. sample space construction and event counting.,basic
physics,units and measurements,"Physics begins with reliable measurement of physical quantities. Significant figures, dimensional analysis, and SI units reduce calculation errors.",basic
physics,motion in a straight line,"This topic models one-dimensional motion using displacement, velocity, and acceleration. Graphs of position and velocity help interpret motion patterns.",basic
physics,motion in a plane,Two-dimensional motion combines independent components along perpendicular axes. Projectile motion and uniform circular motion use vector decomposition.,advanced
physics,laws of motion,Newton's laws explain how forces change motion. Free-body diagrams translate physical situations into solvable equations.,basic
physics,work energy and power,"Work links force and displacement, while energy tracks system state. The work-energy theorem simplifies many mechanics problems.",basic
physics,system of particles and rotational motion,"Rotational dynamics introduces torque, angular momentum, and moment of inertia. Multi-body analysis and axis selection make this topic advanced.",advanced
physics,gravitation,Universal gravitation explains planetary orbits and falling bodies. Field and potential ideas unify many gravitational results.,basic
physics,mechanical properties of solids and fluids,"Elasticity, pressure, viscosity, and surface tension describe matter under stress and flow. Applications include hydraulics and material behavior.",advanced
physics,thermodynamics,"Thermodynamics studies heat, work, and internal energy with law-based constraints. Sign conventions and process paths require careful reasoning.",advanced
physics,kinetic theory,Kinetic theory explains gas behavior using molecular motion assumptions. Macroscopic quantities are derived from microscopic averages.,advanced
physics,oscillations,"Oscillatory motion repeats in time and is often modeled as simple harmonic motion. Phase, amplitude, and frequency define the system state.",basic
physics,waves,Wave motion transfers energy without net transport of matter. Superposition and wave speed relations are central for analysis.,advanced
